School Name, Average Value of Player, Standard Deviation, ,Schools Ordered by Average Player Value, Schools Ordered by Standard Deviation, Avg Position in Ordered Lists
Alabama, 12.33, 5.11, , Louisiana Tech, Oral Roberts, Central Michigan
Arizona, 12.05, 5.24, , Oklahoma, Baylor, New Mexico State
Arizona State, 10.05, 4.75, , Houston, Seton Hall, Washington
Arkansas, 11.82, 4.65, , Georgetown, Virginia Tech, Colorado
Auburn, 13.95, 8.83, , Central Michigan, Iowa, Xavier
Baylor, 9.59, 2.14, , Kentucky, Nebraska, Villanova
Boston College, 7.95, 3.72, , Auburn, Villanova, Florida
Bradley, 7.51, 5.68, , DePaul, Oregon, Arkansas
Brigham Young, 8.53, 4.9, , Wake Forest, Miami (FL), Clemson
California, 11.52, 7.32, , Providence, Long Beach State, New Mexico
California-Los Angeles, 12.58, 7.19, , Clemson, Central Michigan, Alabama
Central Michigan, 14.55, 3.62, , Utah, Boston College, Southern California
Cincinnati, 11.3, 5.57, , Louisiana State, Colorado, Illinois
Clemson, 13.38, 5.57, , North Carolina, Temple, Providence
Colorado, 11.8, 3.72, , Duke, Fresno State, North Carolina
Connecticut, 11.58, 6.28, , San Francisco, Xavier, Arizona
Creighton, 8.51, 6.04, , New Mexico State, Nevada-Reno, Utah
Dayton, 10.11, 5.2, , Pittsburgh, Washington, DePaul
DePaul, 13.71, 6.18, , Illinois, New Mexico, Gonzaga
Detroit Mercy, 11.06, 6.08, , California-Los Angeles, Florida State, Baylor
Duke, 13.06, 6.52, , Notre Dame, Wisconsin, Kentucky
Florida, 12.41, 4.86, , Georgia, Vanderbilt, Oklahoma
Florida State, 10.05, 4.37, , Florida, Arkansas, Seton Hall
Fresno State, 7.8, 4.05, , Southern California, Wyoming, Wisconsin
Georgetown, 15.26, 8.03, , Alabama, New Mexico State, Ohio State
Georgia, 12.5, 6.46, , Texas, Arizona State, Nevada-Reno
Georgia Tech, 11.6, 5.46, , Arizona, Texas A&M, San Francisco
Gonzaga, 11.52, 4.88, , Washington, Washington State, Saint Joseph's
Houston, 15.68, 9.7, , Michigan, Florida, Georgia Tech
Illinois, 12.61, 5.51, , Syracuse, Gonzaga, Virginia Tech
Indiana, 11.74, 6.5, , Xavier, Brigham Young, Iowa
Iowa, 9.02, 2.56, , Oregon State, Missouri, Louisiana Tech
Iowa State, 10.68, 5.55, , Arkansas, Stanford, Nevada-Las Vegas
Kansas, 10.8, 6.09, , Colorado, Saint Joseph's, Oregon State
Kansas State, 10.48, 6.81, , Nevada-Las Vegas, Alabama, Pittsburgh
Kentucky, 13.96, 6.36, , Indiana, Southern California, Oregon
La Salle, 11.05, 7.19, , Louisville, Dayton, Michigan
Long Beach State, 8.71, 2.96, , Ohio State, Tennessee, Oral Roberts
Louisiana State, 13.16, 8.87, , Georgia Tech, Arizona, Florida State
Louisiana Tech, 17.34, 7.41, , Connecticut, Oklahoma State, Texas
Louisville, 11.67, 5.87, , New Mexico, Ohio State, Duke
Marquette, 10.85, 7.73, , Villanova, South Carolina, Temple
Maryland, 10.19, 5.96, , California, Georgia Tech, Texas A&M
Memphis, 9.92, 7.07, , Gonzaga, Illinois, Notre Dame
Miami (FL), 6.95, 2.8, , St. John's (NY), Iowa State, Georgetown
Michigan, 11.92, 5.93, , Cincinnati, Cincinnati, Long Beach State
Michigan State, 11.18, 6.8, , Saint Joseph's, Clemson, Louisville
Minnesota, 11.09, 6.1, , North Carolina State, Virginia, South Carolina
Missouri, 9.8, 4.92, , Michigan State, Nevada-Las Vegas, Cincinnati
Nebraska, 5.94, 2.57, , South Carolina, Bradley, Georgia
Nevada-Las Vegas, 11.77, 5.62, , Minnesota, North Carolina, Houston
Nevada-Reno, 10.12, 4.18, , Detroit Mercy, Oregon State, Arizona State
New Mexico, 11.56, 4.31, , La Salle, Providence, Oklahoma State
New Mexico State, 12.83, 4.71, , Oklahoma State, Louisville, Auburn
North Carolina, 13.09, 5.71, , Marquette, North Carolina State, Nebraska
North Carolina State, 11.24, 5.9, , Kansas, Michigan, Boston College
Notre Dame, 12.51, 6.31, , Iowa State, Maryland, Wake Forest
Ohio State, 11.65, 5.44, , Wisconsin, Utah, Miami (FL)
Oklahoma, 15.71, 7.02, , Kansas State, Creighton, Washington State
